-------------------------------------------------------------------------------------------------------------------------------------
ID-EMPLEADO | NOMBRE                    | APELLIDO                  | DIRECCION                                          | COD-POSTAL
12566759    | GARCIA                    | ELIZABETH MARIA           | Rivadavia 301                                      |       1776
12566762    | PACHAS                    | JUANA BERTHA              | Avda. Independencia 3621                           |       2101
12566764    | FREITAS                   | LUIS ALEJANDRO            | Calle 138 número 1498                              |       8436
12566766    | DONGO                     | JUAN CARLOS               |  Juan Bautista Alberdi 2923                        |       3538
12566767    | OVIEDO                    | YOLANDA                   | Roma 3261                                          |       8628
12566768    | SUING                     | JODY MERCEDES             | Córdoba 2071                                       |       8950
12566773    | SEGOVIA                   | ALFREDO JAIME             | Avda. Coronel Ramón L. Falcón 331                  |       7536
12566778    | AYALA                     | ELVIA                     | Avda. 60 nro 352                                   |       7983
12566779    | GALVAN                    | ROSA CECILIA              | Av. Pte. Dr. Arturo U. Illia 2570                  |       3865
12566780    | BERNAOLA                  | ELZA                      | 25 de Mayo 1199                                    |       2721
12566781    | PINEDA                    | ANTONIETA JANET           | San Martín 455/57                                  |       1787
12566782    | NORTON                    | BRENDA CAROL              | Coronel Brandsen 36                                |       3523
12566783    | SALAS                     | PATRICIA CAROL            | Calle 15 N° 551                                    |       2606
12566785    | GONZALES                  | MARIA FRANCISCA           | Ldor. Gral. San Martín 1218                        |       1255
12566786    | ASCURRA                   | PERCY AGUSTIN             | Calle 4 n° 7                                       |       1866
12566787    | RUIZ                      | ALONSO ALEJANDRO          | Sarmiento 675 - Pergamino                          |       6121
12566788    | NAVAS                     | ELSA JANET                | Roque Sáenz Peña 938                               |       6975
12566791    | POLLERI                   | NICOLE ADRIANA            | Luro 5832 - M. del Plata                           |       2208
12566792    | POSADAS                   | JUAN JOSE                 | Avda. Edison 302                                   |       6370
12566793    | RIVAS                     | ROSANGELA VERONICA        | Emilio Martín Larraya 1100                         |       2258
12566794    | CACERES                   | ROLANDO                   | Mitre 638                                          |       4908
12566797    | VELA                      | ISABELITA                 | Calle 14 n° 4465                                   |       1335
12566799    | JACOBE                    | ANDRES ALEJANDRO          | Avda. Gral. San Martín 501                         |       4613
12566801    | TASAYCO                   | JOSE LUIS                 | Avda. Pellegrini 1474                              |       6020
12566802    | BERROSPI                  | JAVIER FERNANDO           | Avda. Mitre 198                                    |       1066
12566803    | MEJORADA                  | MANUEL HERNAN             | Gral. Roca 869                                     |       6156
12566804    | ABARCA                    | GLHINDA MARLENY           | Calle 57 n° 831 entre 11 y 12                      |       8990
12566805    | GUERRA                    | EMMA ELINA                | Calle 4 n° 168                                     |       5739
12566806    | CASTRO                    | CECILIA YOVANA            | Avda. Ing. A. Roca  152                            |       6512
12566807    | ESPINOZA                  | MARIA LOURDES             | Avda. Libertad 698                                 |       1049
12566810    | CASTILLON                 | NESTOR ALCIDES            | Avda. Colón 898                                    |       8778
12566812    | COA                       | LUCAS                     | Alberto H. Almirón 46                              |       7339
12566814    | ASTETE                    | ANDRES FRANCISCO          | H. Yrigoyen 400                                    |       7196
12566815    | SAMANAMUD                 | FABIAN JOHANN             | Juan B. Alberdi 4775                               |       4927
12566816    | BELLIDO                   | ISELA LILIANA             | 25 de Mayo 325                                     |       7372
12566821    | LOYOLA                    | JUAN MARTIN               | Avda. de los Trabajadores 2977                     |       7600
12566826    | GALVEZ                    | BENITA                    | Belgrano 49                                        |       7245
12566827    | LENTA                     | JOSIAH MATTEO             | Avda. Mitre 113                                    |       6644
12566828    | MEZARINA                  | LUCA TIMOTHY              | Soarez n° 1                                        |       7316
12566829    | ROBANCHO                  | MARIA PIA                 | Padre Elizalde 445                                 |       1313
12566830    | ALVAREZ                   | ALEXANDER GEORGE          | Avda. San Martín 194                               |       7363
12566831    | VIDAL                     | EDGARD GUSTAVO            | Calle 47 n° 901                                    |       1729
12566833    | SOSA                      | MARIA DE JESUS            | Mitre esq. Guemes                                  |       1467
12566834    | ALFARO                    | MARIA ROCIO               | San Martín 602/26/34                               |       5457
12566835    | ANTEZANA                  | ALEXA RAE                 | Sarmiento 101                                      |       2122
12566836    | CORTEZ                    | SEVASTIAN ISAIAH          | Avda. Julio A. Roca 199                            |       3944
12566839    | VASQUEZ                   | ALESSANDRO                | Belgrano 199, esquina Gral. Rico                   |       3575
12566840    | ACHA                      | SANDRO PABLO              | Don Bosco 1285 - Bahia Blanca                      |       5333
12566841    | BARRENECHEA               | FERNANDO                  | Itacumbú 634                                       |       3177
12566842    | DAVILA                    | ANA CECILIA               | La Merced 266                                      |       1133
12566845    | TORRES                    | MILLIE JANELLE            | Avellaneda 281                                     |       2352
12566847    | CARRILLO                  | JOSE HUMBERTO             | San Martín 390                                     |       2403
12566849    | SANTOLALLA                | GABRIELA DENISSE          | Doctor Equiza 4482                                 |       7654
12566850    | CACERES                   | JESSICA ANDREA            | Avda. Mitre 102                                    |       8946
12566851    | VARGAS                    | OLGA VICTORIA             | Sarmiento 386                                      |       6900
12566852    | LUQUE                     | JULIA                     | Carlos Pellegrini 942                              |       5577
12566853    | MILLA                     | ROSSANA ELIZABETH         | El Callao 1330                                     |       4636
12566854    | ALVAREZ                   | JULIO CESAR               | Ruta Provincial n° 21                              |       6933
12566855    | VARGAS                    | CARLOS ALEJANDRO          | Rivadavia esq. Almafuerte                          |       5553
12566858    | MOSCOSO                   | IAN MATHIS                | Bartolomé Mitre 201                                |       7208
12566860    | PACUSSICH                 | ASCENCION                 | Avda. José Altube 1761                             |       4322
12566862    | PECHO                     | FERNANDO                  | San Martín 499                                     |       5635
12566863    | RIVASPLATA                | SUT LAN                   | Calle 35 n° 1202                                   |       5573
12566864    | ALARCON                   | CARMEN PATRICIA           | Mayor López 26                                     |       2483
12566869    | VARGAS                    | DELIA LUCIA               | Avda. Gral. Paz 374                                |       6093
12566874    | CAJAS                     | DENISE BELINDA            | Salgado y Pte. J. D. Perón                         |       4456
12566875    | CARDENAS                  | HUGO ALBERTO              | Luciano Fortabat 1587                              |       4002
12566876    | TONG                      | RUTH TANIA                | Leandro N. Alem 15                                 |       8743
12566877    | YUI                       | LEONOR DORIS              | Bmé. Mitre 696                                     |       7823
12566878    | ECHEVARRIA                | OMAR                      | San Martín 298                                     |       7957
12566879    | FERNANDEZ                 | THIAGO                    | Belgrano 798                                       |       7782
12566881    | YU                        | VANESSA SAMANTA           | Sarmiento 2068 esq. 25 de Mayo                     |       2231
12566882    | MOLINA                    | BRENDA YOLIZA             | Avda. Tandil 401                                   |       3022
12566883    | SIFUENTES                 | ELISA INES                | Roma 3271                                          |       7123
12566884    | FARJE                     | JORGE EDUARDO             | Avda. Santa Fe 2122                                |       4282
12566887    | SALAS                     | KAREN ANGELICA            | Avda. 26 522                                       |       2325
12566888    | APARCANA                  | GINO PAOLO                | Dardo Rocha 315                                    |       4636
12566889    | MORON                     | JOSIAH MATTEO             | Petracchi 501                                      |       3326
12566890    | NUVE                      | LUCA TIMOTHY              | L.N.Alem 158                                       |       2753
12566893    | FONSECA                   | MARIA DE LOS ANGELES      | Avda. Velez Sarsfield 4571/77                      |       2405
12566895    | ROSALES                   | SAMY ADAM                 | Calle 60 Nº 3002                                   |       7209
12566897    | JAVIER                    | HAYRO GABRIEL             | Avda. Sgto. Cabral 527                             |       6787
12566898    | RAMIREZ                   | MANUEL ANTONIO            | Avda. La Rioja 1199                                |       3295
12566899    | VEXLER                    | MARIA CECILIA             | Las Heras 398. Pisos 1° al 4°                      |       5673
12566900    | DOMINGUEZ                 | PAMELA LESLIE             | V. López 2900                                      |       1800
12566901    | MIANI                     | DARLING SOFIA             | Avda. Maipu 2499                                   |       2177
12566902    | HOLGUIN                   | TERESA                    | Josefina Pacheco de Riglos 41                      |       6361
12566903    | LA PORTILLA               | JUAN CARLOS               | Avda. Santamarina 402                              |       7997
12566906    | GARCIA                    | ANNY IDA                  | Calle 5 Nº 1299                                    |       5294
12566908    | MONTENEGRO                | ZARA JULIETA              | Avda. Dr. Raúl Manfredi 570                        |       4692
12566910    | PAICO                     | JORGE                     | Ciudad de Rodez 102                                |       6377
12566911    | VILCHEZ                   | MANUEL LEONARDO           | Rivadavia 403                                      |       7339
12566912    | GALARRETA                 | DAVID ANGELO              | Avda. Shaw 156                                     |       1191
12566917    | SALINAS                   | GENESIS DEZARIE           | Humberto Primo 481                                 |       7989
12566922    | BARRIENTOS                | YAN PIERRE                | Cnel. Beltrán 133                                  |       3209
12566923    | ZAVALETA                  | AARON                     | Baron Hirsch 2                                     |       5298
12566924    | LOPEZ                     | BRANDON                   | Avda. S. Martín 301 esq. A.L.Duggan                |       1196
12566925    | SANCHEZ                   | INGRID                    | Avda. 25 de Mayo 400                               |       4053
12566926    | CALDERON                  | BIANCA CECILIA            | Hipólito Yrigoyen 501                              |       4309
12566927    | IZQUIERDO                 | DANIEL ALBERTO            | Avda. San Martín 3099                              |       8778
12566929    | MORENO                    | ISABELITA                 | San Pablo 401                                      |       7143
12566930    | DE CAVERO                 | DENISE BELINDA            | Moreno 298                                         |       4111
12566931    | GARCIA                    | HILDA MILAGRITOS          | Alsina 250                                         |       3719
12566932    | BAZAN                     | RAUL ANGEL JOSE           | Avda. San Martín 398                               |       7847
12566935    | VILLALOBOS                | LUIS ALEJANDRO            | Arieta 3015                                        |       3940
12566936    | ARIAS                     | GLORIA MARGARITA          | Mitre 3920 (Calle 54)                              |       1715
12566937    | CASTRO                    | ROSA ELVIRA               | Avda Pte. Tte. Gral. Perón 1402                    |       3038
12566938    | COLLAZOS                  | RAFAEL                    | Belgrano 101 esq.Sarmiento                         |       4850
12566941    | ZAMALLOA                  | LEONEL SAUL               | Los Angeles 197                                    |       6685
12566943    | SORIANO                   | CARMEN ROSA               | Avda. Mitre 2727                                   |       4146
12566945    | RODRIGUEZ                 | JESSE ALEXANDER           | Santa Fe 450                                       |       4570
12566946    | CARRANZA                  | JESSICA ANDREA            | Av. Pte. J. D. Perón 1026                          |       5969
12566947    | PARI                      | LILA CHARLIZE             | Calle 47 Nro. 734                                  |       7993
12566948    | CASO                      | LUISA ESPERANZA           | Avda. Juan B. Justo 1620                           |       7673
12566949    | MUÑOZ                     | MILTON ANGELO             | Almirante Brown 612                                |       4038
12566950    | FOSTER                    | VIVIANA VANESSA           | Acassuso 253                                       |       1889
12566951    | HIDALGO                   | LILIANA CATALINA          | Gral. Pinto 600                                    |       4081
12566954    | CALDERON                  | SHIRLEY                   | Avenida 7 Nº 900 esq. 523                          |       7855
12566956    | CALIZAYA                  | TIMOTEO                   | Bvd. Villegas 501                                  |       6109
12566958    | LEO                       | JENNY ISABEL              | 9 de Julio 502                                     |       1384
12566959    | MORILLA                   | ROXANA MIRTHA             | 25 de Mayo 54                                      |       8531
12566960    | HERNANDEZ                 | EDUARDO ANGEL             | Rivadavia 204                                      |       7334
12566965    | RAMIREZ                   | DANIEL FRANCISCO          | Avda. Maipú 742                                    |       6714
12566970    | MILJANOVICH               | ENRIQUE ARTURO            | M. Belgrano 198                                    |       1861
12566971    | RAGOSTA                   | MYRKA VALERY              | Avda. Crovara 954                                  |       1021
12566972    | DE LA CRUZ                | NICOLE ADRIANA            | Avda. San Martín 101                               |       7048
12566973    | ZANABRIA                  | LUCY                      | Falucho 185                                        |       4998
12566974    | ALVAREZ                   | CARMEN PILAR              | Avda. del Libertador Gral.S.Martín 199             |       7049
12566975    | CASTILLO                  | JORGE JACKSON             | Avellaneda 3315                                    |       6451
12566977    | OCHARAN                   | ANABEL ALEXANDRA          | Avda. Rivadavia 699                                |       6955
12566978    | ORTIZ                     | MARY GLADYS               | Diagonal Norte 910                                 |       5943
12566979    | TEVES                     | MARIA DIONELLA            | Av. Corrientes 1236                                |       8972
12566980    | LORENA                    | MILAGROS GISELLE          | Sarmiento 1490                                     |       3190
12566983    | VEGA                      | ROSENDO PABLO             | Florida 118                                        |       6254
12566984    | CIUDAD                    | HIPOLITO ABRIL            | Av. Cordoba 1467                                   |       2765
12566985    | MATTOS                    | ESTEFANI                  | Florida 52                                         |       5421
12566986    | HONOR                     | GEANELLA CAROLINE         | Av. Corrientes 484                                 |       1557
12566989    | HOYOS                     | LISSETTE                  | Av. Santa Fe 1310                                  |       8770
12566991    | SEGURA                    | PATRICE ANNE              | Av. Santa Fe 824                                   |       6687
12566993    | RETAMOZO                  | JULISSA LIZETH            | Libertad 1279                                      |       3158
12566994    | RUIZ                      | GLADYS HORTENCIA          | Av. Rivadavia 364                                  |       8529
12566995    | SOUQUON                   | JOSE                      | Av. Corrientes 1820                                |       1562
12566996    | BARCENA                   | MARTHA ANGELICA           | Av, Leandro N. Alem 702                            |       1175
12566997    | ROJAS                     | YESHICA ROMINA            | Av. Callao 23                                      |       1808
12566998    | CAMPOS                    | CARLOS ALBERTO            | Av. Cordoba 1861                                   |       2282
12566999    | RONCO                     | ERICK SEBASTIAN           | Av. Entre Rios 196                                 |       1784
12567002    | APARICIO                  | MARIA ELENA               | Alicia M. de Justo 350                             |       7111
12567004    | PAREDES                   | MARTHA ANGELICA           | Av. Rivadavia 2215                                 |       3542
12567006    | MOLERO                    | EVARISTA PAULA            | Roberto M. Ortiz 1861                              |       7732
12567007    | PAREDES                   | ESPERANZA                 | Av. Las Heras 2055                                 |       3483
12567008    | AVENDAÑO                  | IVONNE ELIZABETH          | Juana Manso 1189                                   |       1394
12567013    | SANDOVAL DE MEZA          | HUGO ANDRES               | Av. Las Heras 2324                                 |       6374
12567018    | TORRES                    | HECTOR LUIS               | Av. Las Heras 2845                                 |       4593
12567019    | VASQUEZ                   | JULIO GUILLERMO           | Av. Corrientes 3202                                |       6418
12567020    | MENDOZA                   | MARIA DEL CARMEN          | Av. San Juan 2701                                  |       6388
12567021    | RENGIFO                   | HILDA MILAGRITOS          | Av. Rivadavia 310                                  |       6994
12567022    | LEON VDA DE ZARZOSA       | GABRIELA DENISSE          | Av. Cordoba 3381                                   |       4680
12567023    | SALCEDO                   | MARIA ESTHER              | Republica Dominicana 3358                          |       2427
12567025    | SIMMONS                   | LUCINDA MARGOT            | Montes de Oca 894                                  |       8320
12567026    | BARTUREN                  | MARIA ELENA               | Scalabrini Ortiz 3149                              |       6040
12567027    | SILVA                     | OBDULIA                   | Esteban Adrogué 1052 / 58                          |       4954
12567028    | ECHEVARRIA                | RICHARD ENRIQUE           | Silverio Almiró 21 / 29                            |       7680
12567031    | UNTIVEROS                 | GUILLERMO ANTONIO         | Au. Tte. Gral. Pablo Riccheri Km 33,5              |       4470
12567032    | CONDORI                   | CESAR FERNANDO            | Avda. Independencia 3621                           |       5659
12567033    | GONZALES                  | ANDRES                    | Avda. Eugenia Tapia de Cruz 28                     |       1643
12567034    | DAVILA                    | SUSANA MAGDALENA          | Calle 138 número 1498                              |       8402
12567037    | ZUTA                      | CAROLA KARINA             | Roma 3261                                          |       1701
12567039    | PLACENCIA                 | JUSTINIANO NICANOR        | Avda.Victorica 875                                 |       2507
12567041    | SADOWSKY                  | MICHELLE CHRISTINE        | Intendente Campos 1626/34                          |       6892
12567042    | CORONEL                   | YASMINE ALEXIS            | Muñoz 1576                                         |       7653
12567043    | PINEDA                    | AURELIO SEGUNDINO         | Avda. Coronel Ramón L. Falcón 331                  |       4808
12567044    | PACCHIONI                 | ROXANA CONSUELO           | Avda. Daniel M. Cazón 185                          |       6596
12567045    | ROMERO DE RIOS            | CARLOS ALBERTO            | Ricardo Gutiérrez 498                              |       1730
12567046    | ALEGRE                    | LUCY ELENA                | Avda. Mitre 399                                    |       7777
12567047    | LOARTE                    | LUCINDA MARGOT            | Avda. 13 n° 115                                    |       7499
12567050    | BENAVENTE                 | BLANCA IRIS               | 25 de Mayo 1199                                    |       4816
12567052    | DAVILA                    | FIORELLA SUZANNE          | Coronel Brandsen 36                                |       7805
12567054    | NEIRA                     | JOSE FREDDY               | Alsina 638                                         |       5887
12567055    | SALAS                     | MANUEL HERNAN             | Ldor. Gral. San Martín 1218                        |       2405
12567056    | CAPUCHO                   | YESSICA                   | Calle 4 n° 7                                       |       5171
12567061    | CAHUA                     | JHONNY BEJER              | Luro 5832 - M. del Plata                           |       2695
12567066    | VARGAS                    | CAROLINE                  | Avda. Santana E. Zabalza 1                         |       8675
12567067    | ZARATE                    | PERCY ESTUARDO            | Calle 14 n° 4465                                   |       1999
12567068    | CASTRO                    | ISELA LILIANA             | Avda. San Martín 464                               |       1243
12567069    | ESPINOZA                  | CIRILO ALFONSO            | Avda. Gral. San Martín 501                         |       5133
12567070    | GIRON                     | NORMAN BRUCE              | Avda. A.Sáenz 2099                                 |       2372
12567071    | VARA                      | ALDO JOSE                 | Avda. Pellegrini 1474                              |       5548
12567073    | VARGAS                    | MARIA LAURA               | Gral. Roca 869                                     |       3926
12567074    | CASTAÑEDA                 | RAUL ABSALON              | Calle 57 n° 831 entre 11 y 12                      |       3238
12567075    | TRAGODARA                 | ALEXIA                    | Calle 4 n° 168                                     |       4780
12567076    | LEYVA                     | NICOLAS MARIANO           | Avda. Ing. A. Roca  152                            |       7536
12567079    | NUÑEZ                     | KAREN ROSSE               | Avda. Pte. J. D. Perón 402                         |       2500
12567080    | BURNEO                    | RICARDO ALEX              | Avda. Colón 898                                    |       3066
12567081    | DELLY                     | VICTOR                    | Avda. San Martín 150                               |       5285
12567082    | NUÑEZ                     | JOHANA LUCILA             | Alberto H. Almirón 46                              |       4884
12567085    | MONTALVO                  | DAVID GABRIEL             | Juan B. Alberdi 4775                               |       7292
12567087    | SALAS                     | JUAN CARLOS               | Las Heras 398, Planta Baja                         |       7623
12567089    | SOTO                      | GISSET MARGARITA          | General M. de Güemes 2551                          |       1782
12567090    | CASTILLO                  | DIEGO REYNALDO            | Avda. del Libertador 13988                         |       1321
12567091    | RUIZ                      | RICARDO ALFONZO           | Avda. de los Trabajadores 2977                     |       2893
12567092    | ARCE                      | ANILU IRMA                | Alvear 625                                         |       5471
12567093    | TRILLO                    | BRUNO RENATO              | Avda. Dr. Ricardo Balbin 879                       |       2246
12567094    | GARDELLA                  | JHONNATHAN GIOVANNI       | Sarmiento 944                                      |       2016
12567095    | SALAZAR                   | AMAIA                     | Colón 619                                          |       8542
12567098    | LOSTAUNAU                 | ALEJANDRA GUADALUPE       | Soarez n° 1                                        |       3632
12567100    | CHAVEZ                    | CARLOS ALBERTO            | Avda. San Martín 194                               |       3783
12567102    | ALARCON                   | CRISTINA GLADYS           | Avda. Julio A.Roca 622                             |       7569
12567103    | SOTELO                    | JOSE ANTONIO              | Mitre esq. Guemes                                  |       1522
12567104    | NAPURI                    | JOSHUA LEONARDO           | San Martín 602/26/34                               |       3216
12567109    | ONSIHUAY                  | MEDALIT REBECA            | Belgrano 199, esquina Gral. Rico                   |       7551
12567114    | LEON                      | MARIA RITA                | Avda San Martín (15) n° 805                        |       1185
12567115    | PENAGOS                   | GESELLE                   | Avellaneda 281                                     |       5432
12567116    | FARFAN                    | VIVIANA VANESSA           | Avda. de los Constituyentes 553                    |       1685
12567117    | VIDALON                   | GIANCARLOS ARTURO         | San Martín 390                                     |       1536
12567118    | LA SERNA                  | MARISCELA ISABEL          | Rivadavia 698                                      |       4987
12567119    | SOTOMAYOR                 | RAUL FELIPE               | Doctor Equiza 4482                                 |       4938
12567121    | TORRES                    | VICTOR MANUEL             | Sarmiento 386                                      |       6927
12567122    | GALINDO                   | MICHELLE CHRISTINE        | Carlos Pellegrini 942                              |       8294
12567123    | VARGAS                    | FLOR DE MARIA             | El Callao 1330                                     |       4594
12567124    | RODRIGUEZ                 | IVONNE MADELEINE          | Ruta Provincial n° 21                              |       6427
12567127    | TOMATIS                   | LUCIA                     | Avda. Julio A. Roca 1302                           |       5828
12567128    | PERROTTA                  | ENA                       | Bartolomé Mitre 201                                |       8844
12567129    | VILLA GARCIA              | FIORELLA DEL PILAR        | Libertad 3697                                      |       7923
12567130    | MATEO                     | JIMMY ALEXANDER           | Avda. José Altube 1761                             |       5043
12567133    | MALPARTIDA DE CAÑOTE      | RICHARD TITO              | Calle 35 n° 1202                                   |       3810
12567135    | OLIVRY                    | CLARA                     | Calle 7 n° 826                                     |       8011
12567137    | MARINA                    | JUAN CARLOS               | Avda. H. Yrigoyen 4150                             |       3940
12567138    | JALLO DE AYALA            | RAMON ALBANO              | Avda. San Martín 1100                              |       4524
12567139    | SALAS                     | THOMAS JOSE               | Avda. Gral. Paz 374                                |       8643
12567140    | CERVANTES                 | JORGE LUIS                | Calle 11 N° 245                                    |       3600
12567141    | SEMINARIO                 | LUIS ENRIQUE              | Avda. L.N.Alem 1200                                |       6598
12567142    | FERNANDEZ DE GARRATT      | LEONOR DORIS              | Avda. Antártida Argentina 1712                     |       4173
12567143    | NICHO                     | LUIGI ANTONINO            | Avda. San Martín 202                               |       4928
12567146    | CASTILLO                  | MACARENA                  | Leandro N. Alem 15                                 |       3388
12567148    | ALARCON                   | MILUSKA STEPHANY          | San Martín 298                                     |       7697
12567150    | DIEZ                      | LIZ                       | San Martín 2594                                    |       6012
12567151    | ESPINOZA                  | BETTY GENARA              | Sarmiento 2068 esq. 25 de Mayo                     |       3219
12567152    | SALAS                     | GLADYS BERNARDA           | Avda. Tandil 401                                   |       4425
12567157    | RAZZETO                   | SAMY ADAM                 | Avda. 26 522                                       |       6346
12567162    | CONCHA                    | RICARDO ALEX              | Rivadavia 18100                                    |       8664
12567163    | DELGADO                   | RICHARD TITO              | Avda. Velez Sarsfield 4571/77                      |       8563
12567164    | GUEVARA                   | ANDRES DAVID              | H. Yrigoyen 300                                    |       3792
12567165    | PEREZ                     | MARIA LUISA               | Calle 60 Nº 3002                                   |       2999
12567166    | PACHAS                    | VERONICA ELIZABETH        | Calle 22 n° 1001                                   |       3812
12567167    | VILELA                    | YAN PIERRE                | Avda. Sgto. Cabral 527                             |       3916
12567169    | PEREA                     | ANA MARIA DEL ROSARIO     | Las Heras 398. Pisos 1° al 4°                      |       2626
12567170    | CAVALLINI                 | MARY-ANN                  | V. López 2900                                      |       3049
12567171    | DELGADO DE SANCHEZ        | DESIREE F                 | Avda. Maipu 2499                                   |       3330
12567172    | PLASENCIA                 | JOSE LUIS                 | Josefina Pacheco de Riglos 41                      |       3587
12567175    | SIVINCHA                  | LILIAN SUSANA             | Paraguay 2                                         |       3909
12567176    | CALLE                     | MARIA DEL CARMEN          | Calle 5 Nº 1299                                    |       3164
12567177    | SANCHEZ                   | DAVID GABRIEL             | Artigas 589                                        |       3247
12567178    | DECENA                    | FLOR VERONICA             | Avda. Dr. Raúl Manfredi 570                        |       8265
12567181    | IZQUIERDO                 | JOSE MANUEL               | Rivadavia 403                                      |       4238
12567183    | REICHARDT                 | CESAR MANUEL              | Estomba 52                                         |       5094
12567185    | QUEZADA                   | JULIO GIANCARLO           | Avda. General Paz 5445                             |       4094
12567186    | CASTILLON                 | CINTHYA GRISELL           | Uruguay 143                                        |       5032
12567187    | SANCHEZ                   | ERIKA                     | Humberto Primo 481                                 |       4206
12567188    | JARA                      | EDUARDO XAVIER            | Rivadavia 299                                      |       4129
12567189    | MORON                     | JESUS FELIPE              | Avda. Chacón 497                                   |       8913
12567190    | BARREDA                   | JOSE ORLANDO              | Rivadavia 13748                                    |       4122
12567191    | CASTRO                    | PABLO                     | Avda. San Martín 501                               |       3361
12567194    | CHICCHON                  | ZENON                     | Avda. S. Martín 301 esq. A.L.Duggan                |       1556
12567196    | DE ROJAS                  | KARLA ANGELA              | Hipólito Yrigoyen 501                              |       4254
12567198    | BORJAS                    | JULIO MAXIMO              | Pueyrredón 101                                     |       5527
12567199    | VARGAS                    | LUIS HERNAN               | San Pablo 401                                      |       6270
12567200    | GIRON                     | VANESSA SAMANTA           | Moreno 298                                         |       6004
12567205    | TALAVERA                  | HUMBERTO GIANCARLO        | Arieta 3015                                        |       6352
12567210    | GUTARRA                   | MELISSA                   | Avda. Bolívar 104                                  |       4471
12567211    | PORRAS                    | CESAR EDWIND              | Los Angeles 197                                    |       2539
12567212    | BARRIGA                   | ALFREDO EMILIO            | Avda. 37 n° 319                                    |       5802
12567213    | URQUIETA                  | JOSET JESUS               | Avda. Mitre 2727                                   |       5092
12567214    | LEN                       | MARIA LOURDES             | Calle 48 N° 575, 1° Subsuelo                       |       2310
12567215    | NUÑEZ                     | JOHN VIRGILIO             | Santa Fe 450                                       |       2534
12567217    | RAYGADA                   | MATTHIAS IGNACIO          | Calle 47 Nro. 734                                  |       7944
12567218    | OTOYA                     | MARIA PIA                 | Avda. Juan B. Justo 1620                           |       2235
12567219    | SEQUEIROS                 | MARIA ELIZABETH           | Almirante Brown 612                                |       5101
12567220    | BENDEZU                   | DANIEL ROBERTO            | Acassuso 253                                       |       7382
12567223    | CAMONES                   | KATTY SUSANA              | Avda. Cazón 1600                                   |       2975
12567224    | CHUNG                     | ROSANGELA VERONICA        | Avenida 7 Nº 900 esq. 523                          |       8977
12567225    | PAJUELO                   | MARIA ELENA               | Avda. 9 de Julio 402                               |       6723
12567226    | CHAVEZ                    | SONIA                     | Bvd. Villegas 501                                  |       1524
